Epoch,Hidden Dimension,Num of ConvLayer,Num of TimeSteps,learning rate,weight_decay,dropout,best_score,task
2,176,3,5,2.48124917,4.63781529,0.23922517,0.023974457,carbon_cnt
11,251,5,4,2.6851441,4.65817284,0.27948423,0.01451858,noncarbon_cnt
2,176,3,5,2.48124917,4.63781529,0.23922517,0.021587883,proton_cnt
2,208,5,4,2.68644101,3.99230767,0.24862505,0.031525153,molecule_energy
30,191,6,2,3.95354842,5,0,0.010960927,aromatic_cnt
2,176,3,5,2.48124917,4.63781529,0.23922517,0.026149736,inring_cnt
30,41,2,6,2,5,0,0.016293933,asa
2,176,3,5,2.48124917,4.63781529,0.23922517,0.02190813,tpsa
11,251,5,4,2.6851441,4.65817284,0.27948423,0.070545087,logp
23,241,5,5,2.91825209,4.24892417,0.026725756,0.018988202,single_tripple_cnt
11,251,5,4,2.6851441,4.65817284,0.27948423,0.080034611,group_cnt
11,251,5,4,2.6851441,4.65817284,0.27948423,0.027730158,polar_coef
