Epoch,Hidden Dimension,Num of ConvLayer,Num of TimeSteps,learning rate,weight_decay,dropout,best_score,task
18,59,5,3,2.05633722,4.61212324,0.08687267,0.040450476,carbon_cnt
2,208,5,4,2.68644101,3.99230767,0.24862505,0.047399495,noncarbon_cnt
26,117,3,4,2.4705692,4.11941269,0.3117508,0.052863151,proton_cnt
30,41,2,6,2,5,0,0.040650152,molecule_energy
19,59,4,2,2.94345533,4.24125518,0.32461761,0.164996108,aromatic_cnt
23,241,5,5,2.91825209,4.24892417,0.026725756,0.16692689,inring_cnt
29,41,2,6,2,5,0,0.025922589,asa
30,41,2,6,2,5,0,0.019585904,tpsa
19,59,3,5,2.98253951,3.74715752,0.07022956,0.119167958,logp
2,208,5,4,2.68644101,3.99230767,0.24862505,0.095668991,single_tripple_cnt
2,176,3,5,2.48124917,4.63781529,0.23922517,0.076516046,group_cnt
16,141,5,2,2.59577308,3.44848513,0.24548367,0.065728062,polar_coef
